# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Sun Aug  2 21:14:37 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 7.70000 0.0900000036 1.0816895926    0.090 -2.541  3.4040  4.501    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.86e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.121 19.174 17.286 15.676 13.718 11.554 9.050 8.458 8.100
0.0152 0.01508 7.70000 0.0983660892 1.1573110058    0.098 -2.477  3.4116  4.506    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.55e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.963 19.024 17.131 15.520 13.560 11.396 8.891 8.299 7.942
0.0152 0.01508 7.70000 0.1000000015 1.1711064122    0.100 -2.465  3.4131  4.508    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.68e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.934 18.997 17.102 15.491 13.531 11.366 8.862 8.270 7.913
0.0152 0.01508 7.70000 0.1015775055 1.1841503210    0.102 -2.455  3.4143  4.509    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.79e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.908 18.973 17.077 15.465 13.505 11.340 8.836 8.244 7.887
0.0152 0.01508 7.70000 0.1143163815 1.2806602744    0.114 -2.372  3.4241  4.516    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.82e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.700 18.461 16.636 15.034 13.145 11.035 8.642 8.048 7.696
0.0152 0.01508 7.70000 0.1200000122 1.3193155232    0.120 -2.337  3.4284  4.519    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.3e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.612 18.174 16.397 14.802 12.959 10.885 8.564 7.969 7.619
0.0152 0.01508 7.70000 0.1273749173 1.3660659098    0.127 -2.296  3.4331  4.524    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.86e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.511 17.873 16.140 14.557 12.760 10.722 8.473 7.876 7.530
0.0152 0.01508 7.70000 0.1400000006 1.4384526719    0.140 -2.231  3.4406  4.529    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.347 17.412 15.743 14.179 12.451 10.467 8.324 7.725 7.386
0.0152 0.01508 7.70000 0.1599999964 1.5372931554    0.160 -2.142  3.4506  4.539    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.126 16.811 15.220 13.678 12.040 10.131 8.123 7.522 7.192
0.0152 0.01508 7.70000 0.2000000030 1.6938790862    0.200 -1.993  3.4667  4.551    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.753 15.885 14.398 12.879 11.377 9.599 7.786 7.179 6.865
0.0152 0.01508 7.70000 0.2432070374 1.8227724116    0.243 -1.867  3.4797  4.562    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.438 15.172 13.752 12.253 10.850 9.174 7.499 6.887 6.588
0.0152 0.01508 7.70000 0.2500000000 1.8403257998    0.250 -1.849  3.4815  4.563    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.393 15.076 13.662 12.165 10.774 9.115 7.458 6.845 6.548
0.0152 0.01508 7.70000 0.2872958183 1.9267482306    0.287 -1.760  3.4904  4.570    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.169 14.610 13.228 11.733 10.401 8.826 7.258 6.639 6.352
0.0152 0.01508 7.70000 0.3000000119 1.9529139769    0.300 -1.733  3.4932  4.572    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.22e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.101 14.477 13.104 11.614 10.299 8.742 7.196 6.576 6.292
0.0152 0.01508 7.70000 0.3230931461 1.9969755695    0.323 -1.685  3.4978  4.575    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.982 14.250 12.891 11.411 10.123 8.597 7.087 6.463 6.185
0.0152 0.01508 7.70000 0.3500000238 2.0434175133    0.350 -1.632  3.5026  4.576    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.58e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.849 14.010 12.663 11.194 9.933 8.438 6.965 6.338 6.065
0.0152 0.01508 7.70000 0.3890359104 2.1031213354    0.389 -1.560  3.5098  4.579    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.89e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.669 13.679 12.349 10.894 9.671 8.222 6.801 6.167 5.903
0.0152 0.01508 7.70000 0.4000000358 2.1185024810    0.400 -1.540  3.5116  4.579    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.98e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.621 13.597 12.269 10.818 9.603 8.166 6.757 6.122 5.860
0.0152 0.01508 7.70000 0.4500000477 2.1822809714    0.450 -1.449  3.5209  4.575    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.48e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.392 13.197 11.883 10.445 9.274 7.898 6.550 5.907 5.653
0.0152 0.01508 7.70000 0.4726415575 2.2082043454    0.473 -1.408  3.5256  4.575    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.73e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.290 13.017 11.704 10.273 9.123 7.778 6.460 5.813 5.563
0.0152 0.01508 7.70000 0.5000000000 2.2374541529    0.500 -1.361  3.5306  4.572    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.173 12.820 11.509 10.085 8.956 7.642 6.355 5.703 5.457
0.0152 0.01508 7.70000 0.5150182247 2.2524181548    0.515 -1.335  3.5338  4.572    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.24e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.107 12.707 11.395 9.975 8.859 7.566 6.298 5.642 5.400
0.0152 0.01508 7.70000 0.5500000119 2.2836582633    0.550 -1.262  3.5421  4.561    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.91e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.925 12.408 11.093 9.685 8.601 7.359 6.137 5.475 5.239
0.0152 0.01508 7.70000 0.5861470699 2.3114764337    0.586 -1.187  3.5527  4.555    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.68e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.737 12.087 10.759 9.360 8.312 7.141 5.977 5.306 5.079
0.0152 0.01508 7.70000 0.5943084955 2.3172212588    0.594 -1.169  3.5553  4.554    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.88e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.692 12.010 10.678 9.280 8.241 7.089 5.939 5.266 5.041
0.0152 0.01508 7.70000 0.6000000238 2.3211213258    0.600 -1.153  3.5576  4.551    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.08e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.653 11.945 10.610 9.213 8.181 7.044 5.906 5.231 5.008
0.0152 0.01508 7.70000 0.6210692525 2.3348461956    0.621 -1.094  3.5671  4.546    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.87e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.718e-03 -1.000 1.527e-02 7.505 11.692 10.339 8.946 7.942 6.875 5.785 5.102 4.889
0.0152 0.01508 7.70000 0.6499999762 2.3520353107    0.650 -1.005  3.5827  4.539    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.29e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 7.282 11.312 9.929 8.547 7.583 6.626 5.605 4.908 4.716
0.0152 0.01508 7.70000 0.6601079106 2.3576340158    0.660 -0.970  3.5896  4.538    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.91e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 7.195 11.157 9.760 8.387 7.440 6.529 5.536 4.833 4.651
0.0152 0.01508 7.70000 0.6793846488 2.3677820832    0.679 -0.896  3.6048  4.538    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.407e-04 6.718e-03 -1.000 1.527e-02 7.011 10.831 9.402 8.063 7.151 6.329 5.388 4.678 4.521
